category,source_file,source_column,output_column,frequency,aggregation,availability_rule,role,include,reason
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,usd_cny,usd_cny,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,usd_gbp,usd_gbp,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,usd_idr,usd_idr,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,usd_inr,usd_inr,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,usd_jpy,usd_jpy,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,usd_krw,usd_krw,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,vix_index,vix_index,monthly,as_is,native_month,feature,True,
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,aluminum_3_month_usd_per_ton,aluminum_3_month_usd_per_ton,daily,exclude,same_month,feature,False,Excluded by project decision.
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,aluminum_cash_usd_per_ton,aluminum_cash_usd_per_ton,daily,monthly_mean,same_month,feature,True,
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,aluminum_stock_ton,aluminum_stock_ton,daily,month_end_last,same_month,feature,True,
