model,horizon,origin_date,expert,prior_mae,prior_observations,weight
top5_weighted_ensemble,1,2026-05-31,lightgbm_return_10y,491.0767971960289,16,0.1899064753191539
top3_simple_ensemble,1,2026-06-30,naive,425.30743570155346,17,0.3333333333333333
top3_simple_ensemble,1,2026-06-30,arima_5y,451.54170904434164,17,0.3333333333333333
top3_simple_ensemble,1,2026-06-30,elasticnet_8y,453.0900455299601,17,0.3333333333333333
top3_weighted_ensemble,1,2026-06-30,naive,425.30743570155346,17,0.34715199767288674
top3_weighted_ensemble,1,2026-06-30,arima_5y,451.54170904434164,17,0.3269826972166371
top3_weighted_ensemble,1,2026-06-30,elasticnet_8y,453.0900455299601,17,0.3258653051104762
top5_simple_ensemble,1,2026-06-30,naive,425.30743570155346,17,0.2
top5_simple_ensemble,1,2026-06-30,arima_5y,451.54170904434164,17,0.2
top5_simple_ensemble,1,2026-06-30,elasticnet_8y,453.0900455299601,17,0.2
top5_simple_ensemble,1,2026-06-30,lightgbm_return_10y,466.5241181104545,17,0.2
top5_simple_ensemble,1,2026-06-30,arima_10y,469.0209768620972,17,0.2
top5_weighted_ensemble,1,2026-06-30,naive,425.30743570155346,17,0.21280976624231865
top5_weighted_ensemble,1,2026-06-30,arima_5y,451.54170904434164,17,0.20044566019039256
top5_weighted_ensemble,1,2026-06-30,elasticnet_8y,453.0900455299601,17,0.19976068083118637
top5_weighted_ensemble,1,2026-06-30,lightgbm_return_10y,466.5241181104545,17,0.19400835339348196
top5_weighted_ensemble,1,2026-06-30,arima_10y,469.0209768620972,17,0.19297553934262043
top3_simple_ensemble,1,2026-07-31,naive,404.40948198339515,18,0.3333333333333333
top3_simple_ensemble,1,2026-07-31,arima_5y,428.27849110185525,18,0.3333333333333333
top3_simple_ensemble,1,2026-07-31,elasticnet_8y,428.51068630234244,18,0.3333333333333333
top3_weighted_ensemble,1,2026-07-31,naive,404.40948198339515,18,0.34625757793291023
top3_weighted_ensemble,1,2026-07-31,arima_5y,428.27849110185525,18,0.3269597951664673
top3_weighted_ensemble,1,2026-07-31,elasticnet_8y,428.51068630234244,18,0.3267826269006225
top5_simple_ensemble,1,2026-07-31,naive,404.40948198339515,18,0.2
top5_simple_ensemble,1,2026-07-31,arima_5y,428.27849110185525,18,0.2
top5_simple_ensemble,1,2026-07-31,elasticnet_8y,428.51068630234244,18,0.2
top5_simple_ensemble,1,2026-07-31,arima_10y,445.87920552819963,18,0.2
top5_simple_ensemble,1,2026-07-31,arima_8y,450.94436381744174,18,0.2
top5_weighted_ensemble,1,2026-07-31,naive,404.40948198339515,18,0.2131367920245854
