feature,category,frequency,aggregation,feature_lag_months,paired_observations,pearson_correlation,abs_pearson_correlation,spearman_correlation,abs_spearman_correlation
germany_10y_bund_yield,macro_fred,monthly,as_is,1,138,0.6425216077232223,0.6425216077232223,0.48452642021454495,0.48452642021454495
chile_sulfuric_acid_production_ton,chile_cochilco,annual,repeat_within_year,1,120,-0.6424531058881175,0.6424531058881175,-0.6112517223667671,0.6112517223667671
chile_open_pit_fuel_mj_per_ton,chile_cochilco,annual,repeat_within_year,3,120,0.6418589946776369,0.6418589946776369,0.4884653391124946,0.4884653391124946
chile_sulfuric_acid_consumption_ton,chile_cochilco,annual,repeat_within_year,3,120,0.6416572239415399,0.6416572239415399,0.5658559381076842,0.5658559381076842
aluminum_stock_ton,other_metals,daily,month_end_last,1,139,-0.6414953819276414,0.6414953819276414,-0.7110684123508646,0.7110684123508646
aluminum_stock_ton,other_metals,daily,month_end_last,3,137,-0.6396832772628407,0.6396832772628407,-0.6847452722758415,0.6847452722758415
chile_average_copper_ore_grade_pct,chile_cochilco,annual,repeat_within_year,3,120,-0.6395324999520506,0.6395324999520506,-0.6697134519107523,0.6697134519107523
wti_usd_per_barrel,commodities,monthly,as_is,1,139,0.6389176759669902,0.6389176759669902,0.7156725622942639,0.7156725622942639
aluminum_stock_ton,other_metals,daily,month_end_last,2,138,-0.6369208859719454,0.6369208859719454,-0.6911566272212314,0.6911566272212314
germany_10y_bund_yield,macro_fred,monthly,as_is,2,138,0.6366616095461389,0.6366616095461389,0.462674248296775,0.462674248296775
usd_jpy,macro_fred,monthly,as_is,6,134,0.6347825324275915,0.6347825324275915,0.43838701230688665,0.43838701230688665
global_container_import,shipping,daily,monthly_sum,6,86,0.6341833453262548,0.6341833453262548,0.637643285060616,0.637643285060616
peru_mining_employment,peru_mining,annual,repeat_within_year,6,72,0.6338945340850373,0.6338945340850373,0.4359225283986544,0.4359225283986544
euro_area_ppi,global_macro,monthly,as_is,12,128,0.6322913328441899,0.6322913328441899,0.5523350355690534,0.5523350355690534
baltic_dry_index,shipping,daily,monthly_mean,3,137,0.6312306204950481,0.6312306204950481,0.7292456176377247,0.7292456176377247
global_economic_policy_uncertainty_ppp_index,risk,monthly,as_is,6,134,0.6303456863096449,0.6303456863096449,0.602069851245028,0.602069851245028
chile_average_copper_ore_grade_pct,chile_cochilco,annual,repeat_within_year,6,120,-0.6300319970612102,0.6300319970612102,-0.6407338553173156,0.6407338553173156
is_forecast,icsg,annual,repeat_within_year,6,110,-0.6292441650469961,0.6292441650469961,-0.6986047516713392,0.6986047516713392
zinc_cash_usd_per_ton,other_metals,daily,monthly_mean,2,138,0.6289867466194957,0.6289867466194957,0.67736632655158,0.67736632655158
global_container_export,shipping,daily,monthly_sum,6,86,0.6289165643209399,0.6289165643209399,0.6162460493419502,0.6162460493419502
canada_tsx_composite_hudbay_minerals,equities_companies,monthly,as_is,6,134,0.6277523636689716,0.6277523636689716,0.4343919500243146,0.4343919500243146
chile_mining_wage_yoy_pct,chile_cochilco,annual,repeat_within_year,0,96,0.6267141838606363,0.6267141838606363,0.6768949782134187,0.6768949782134187
chile_sulfuric_acid_production_ton,chile_cochilco,annual,repeat_within_year,2,120,-0.6264791482137929,0.6264791482137929,-0.5770792500831771,0.5770792500831771
is_estimate,usgs,annual,repeat_within_year,6,120,0.6230841771668133,0.6230841771668133,0.502793317823715,0.502793317823715
aluminum_stock_ton,other_metals,daily,month_end_last,12,128,-0.6228569972553801,0.6228569972553801,-0.559346960263688,0.559346960263688
korea_10y_yield,macro_fred,monthly,as_is,2,138,0.6225938420321541,0.6225938420321541,0.5982547506900857,0.5982547506900857
peru_diesel_price_index,peru_cost_drivers,monthly,as_is,3,137,0.6225412115293767,0.6225412115293767,0.6520071730399607,0.6520071730399607
global_container_import,shipping,daily,monthly_sum,1,91,0.621241487146932,0.621241487146932,0.617948717948718,0.617948717948718
chile_concentrator_electricity_mj_per_ton,chile_cochilco,annual,repeat_within_year,12,120,0.6211441185479079,0.6211441185479079,0.6382211735317574,0.6382211735317574
germany_10y_bund_yield,macro_fred,monthly,as_is,3,137,0.620557775373101,0.620557775373101,0.430288739206263,0.430288739206263
indonesia_reer,macro_fred,monthly,as_is,1,139,-0.620066825047292,0.620066825047292,-0.4693641360203762,0.4693641360203762
chile_mining_wage_yoy_pct,chile_cochilco,annual,repeat_within_year,1,96,0.6191624916370468,0.6191624916370468,0.697401975856821,0.697401975856821
global_economic_policy_uncertainty_index,risk,monthly,as_is,6,134,0.619117567961994,0.619117567961994,0.5790969962218981,0.5790969962218981
canada_tsx_composite_first_quantum_minerals,equities_companies,monthly,as_is,6,134,0.6189872986891856,0.6189872986891856,0.6307036247334755,0.6307036247334755
brent_oil_usd,macro_fred,monthly,as_is,1,139,0.6186796102215084,0.6186796102215084,0.6810536663836632,0.6810536663836632
canada_tsx_composite_teck_resources,equities_companies,monthly,as_is,12,128,0.6164861525138979,0.6164861525138979,0.5576531312946347,0.5576531312946347
indonesia_reer,macro_fred,monthly,as_is,0,139,-0.6153196114290845,0.6153196114290845,-0.47831449126413145,0.47831449126413145
boj_call_rate,global_macro,monthly,as_is,12,128,0.614864294107649,0.614864294107649,0.3687339772935359,0.3687339772935359
uk_ftse100_glencore,equities_companies,monthly,as_is,3,137,0.6143687809681497,0.6143687809681497,0.6067728265536618,0.6067728265536618
chile_average_copper_ore_grade_pct,chile_cochilco,annual,repeat_within_year,12,120,-0.6143011830268202,0.6143011830268202,-0.5861249045111862,0.5861249045111862
poland_wig20,equities_indices,monthly,as_is,2,138,0.6130018283478452,0.6130018283478452,0.43941057880449047,0.43941057880449047
global_container_import,shipping,daily,monthly_sum,2,90,0.6117633181395208,0.6117633181395208,0.6097625221220726,0.6097625221220726
india_10y_yield,macro_fred,monthly,as_is,12,128,-0.6099296137097165,0.6099296137097165,-0.6749403081807231,0.6749403081807231
global_container_import,shipping,daily,monthly_sum,3,89,0.6086460663476211,0.6086460663476211,0.5801498127340825,0.5801498127340825
us_10y_treasury_yield,macro_fred,monthly,as_is,0,140,0.6078389870554721,0.6078389870554721,0.5375952349711961,0.5375952349711961
usd_cny,macro_fred,monthly,as_is,12,128,0.6068901054086809,0.6068901054086809,0.6039358633949826,0.6039358633949826
drc_policy_rate,global_macro,monthly,as_is,12,125,0.6062109197613482,0.6062109197613482,0.5631126397729324,0.5631126397729324
global_container_export,shipping,daily,monthly_sum,1,91,0.6059543195024869,0.6059543195024869,0.5975314540531932,0.5975314540531932
chile_sulfuric_acid_production_ton,chile_cochilco,annual,repeat_within_year,3,120,-0.6043129504269587,0.6043129504269587,-0.5428230217400682,0.5428230217400682
chile_mining_wage_yoy_pct,chile_cochilco,annual,repeat_within_year,2,96,0.6041934483335695,0.6041934483335695,0.709542118461715,0.709542118461715
global_container_export,shipping,daily,monthly_sum,2,90,0.6037709178787559,0.6037709178787559,0.5801456969996295,0.5801456969996295
south_korea_kospi,equities_indices,monthly,as_is,12,128,0.6035105199022552,0.6035105199022552,0.657091192089361,0.657091192089361
nickel_cash_usd_per_ton,other_metals,daily,monthly_mean,0,140,0.6005383283058884,0.6005383283058884,0.7650302858017538,0.7650302858017538
shfe_turnover,copper_market,daily,monthly_sum,1,61,0.598564330001495,0.598564330001495,0.5010576414595451,0.5010576414595451
tin_cash_usd_per_ton,other_metals,daily,monthly_mean,12,128,0.5975521938176573,0.5975521938176573,0.606385048525911,0.606385048525911
global_container_export,shipping,daily,monthly_sum,3,89,0.5939875383349021,0.5939875383349021,0.5446203609124959,0.5446203609124959
usa_nyse_mp_materials,equities_companies,monthly,as_is,6,69,0.5937591553336229,0.5937591553336229,0.22093533065400076,0.22093533065400076
wti_usd_per_barrel,commodities,monthly,as_is,2,138,0.5908538886614783,0.5908538886614783,0.6666354630111272,0.6666354630111272
indonesia_reer,macro_fred,monthly,as_is,2,138,-0.5894107376411282,0.5894107376411282,-0.4407713435725554,0.4407713435725554
japan_industrial_production,global_macro,monthly,as_is,3,137,-0.5893171177853499,0.5893171177853499,-0.6487153797607614,0.6487153797607614
ecb_policy_rate,global_macro,monthly,as_is,12,128,0.5878420616648053,0.5878420616648053,0.6025806960221021,0.6025806960221021
