"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2025","2,845.37","2,832.22","2,859.84","2,823.80","25.66M","1.06%"
"06/27/2025","2,815.66","2,821.20","2,822.14","2,798.68","23.89M","0.09%"
"06/26/2025","2,813.09","2,767.06","2,819.58","2,764.80","29.63M","2.33%"
"06/25/2025","2,749.16","2,765.11","2,765.11","2,740.33","19.79M","-0.49%"
"06/24/2025","2,762.70","2,725.70","2,762.70","2,722.96","36.87M","2.64%"
"06/23/2025","2,691.54","2,722.95","2,722.95","2,682.60","19.65M","-1.60%"
"06/20/2025","2,735.44","2,727.85","2,741.94","2,718.16","61.76M","0.45%"
"06/18/2025","2,723.15","2,727.24","2,736.89","2,702.97","20.55M","-0.23%"
"06/17/2025","2,729.31","2,703.94","2,736.12","2,678.67","32.60M","0.52%"
"06/16/2025","2,715.12","2,725.66","2,740.72","2,706.66","26.97M","0.27%"
"06/13/2025","2,707.86","2,712.63","2,732.49","2,693.34","34.07M","-1.73%"
"06/12/2025","2,755.65","2,760.92","2,797.27","2,725.39","31.27M","-0.87%"
"06/11/2025","2,779.83","2,782.03","2,787.52","2,749.29","27.85M","-0.51%"
"06/10/2025","2,794.03","2,736.50","2,809.94","2,734.36","39.74M","2.25%"
"06/09/2025","2,732.67","2,708.66","2,736.93","2,693.61","22.84M","1.22%"
"06/06/2025","2,699.85","2,719.01","2,719.01","2,657.75","40.15M","-1.26%"
"06/05/2025","2,734.31","2,768.24","2,780.95","2,724.12","21.41M","-1.26%"
"06/04/2025","2,769.33","2,744.70","2,773.09","2,736.39","24.42M","1.39%"
"06/03/2025","2,731.30","2,764.14","2,766.37","2,692.67","24.40M","-0.87%"
"06/02/2025","2,755.26","2,718.57","2,759.23","2,677.77","31.59M","-0.60%"
"05/30/2025","2,771.86","2,766.55","2,774.41","2,738.26","65.74M","-0.51%"
"05/29/2025","2,785.96","2,854.53","2,857.26","2,779.88","29.46M","-1.79%"
"05/28/2025","2,836.66","2,818.76","2,839.78","2,810.49","26.24M","0.82%"
"05/27/2025","2,813.71","2,789.87","2,817.67","2,778.02","18.98M","0.78%"
"05/26/2025","2,792.00","2,751.96","2,797.79","2,748.12","14.46M","2.76%"
"05/23/2025","2,716.88","2,749.64","2,762.41","2,653.44","26.73M","-0.80%"
"05/22/2025","2,738.74","2,749.76","2,758.06","2,724.71","29.19M","-0.80%"
"05/21/2025","2,760.83","2,790.83","2,791.40","2,746.64","20.90M","-1.26%"
"05/20/2025","2,796.13","2,797.76","2,814.76","2,786.40","19.86M","0.34%"
"05/19/2025","2,786.70","2,769.77","2,789.47","2,727.47","22.69M","-0.84%"
"05/16/2025","2,810.35","2,840.28","2,851.34","2,790.86","24.23M","-0.17%"
"05/15/2025","2,815.14","2,819.53","2,827.96","2,789.83","15.96M","-0.57%"
"05/14/2025","2,831.42","2,858.10","2,863.64","2,813.56","25.51M","-0.62%"
"05/13/2025","2,849.22","2,839.23","2,849.22","2,812.66","28.64M","0.62%"
"05/12/2025","2,831.63","2,856.45","2,897.73","2,815.19","21.45M","-0.37%"
"05/09/2025","2,842.14","2,778.89","2,846.41","2,776.68","26.13M","2.68%"
"05/08/2025","2,767.86","2,757.50","2,788.37","2,741.55","22.43M","0.70%"
"05/07/2025","2,748.53","2,722.86","2,754.71","2,717.01","23.77M","1.12%"
"05/06/2025","2,718.17","2,757.35","2,757.35","2,679.69","19.33M","-2.37%"
"05/05/2025","2,784.03","2,800.14","2,800.14","2,762.85","13.58M","-0.96%"
"05/02/2025","2,811.07","2,775.62","2,811.07","2,766.57","19.86M","2.67%"
"04/30/2025","2,737.86","2,816.05","2,818.97","2,727.10","28.01M","-2.60%"
"04/29/2025","2,810.88","2,815.35","2,838.45","2,797.99","18.71M","0.20%"
"04/28/2025","2,805.35","2,803.63","2,825.56","2,792.99","18.38M","0.42%"
"04/25/2025","2,793.70","2,800.23","2,816.30","2,784.81","21.26M","-0.13%"
"04/24/2025","2,797.29","2,768.94","2,798.75","2,743.51","27.73M","0.51%"
"04/23/2025","2,783.01","2,733.02","2,784.12","2,727.86","34.57M","3.06%"
"04/22/2025","2,700.41","2,652.51","2,700.41","2,652.51","28.96M","2.15%"
"04/17/2025","2,643.52","2,629.92","2,669.82","2,626.36","23.27M","1.06%"
"04/16/2025","2,615.84","2,596.22","2,640.92","2,589.05","26.33M","-0.10%"
"04/15/2025","2,618.49","2,611.80","2,659.36","2,591.33","31.36M","0.39%"
"04/14/2025","2,608.21","2,578.66","2,609.56","2,573.12","15.57M","3.12%"
"04/11/2025","2,529.25","2,559.99","2,587.68","2,518.27","23.39M","-0.95%"
"04/10/2025","2,553.57","2,541.89","2,603.96","2,521.46","30.02M","4.92%"
"04/09/2025","2,433.75","2,432.85","2,497.93","2,409.92","26.36M","-2.95%"
"04/08/2025","2,507.84","2,471.79","2,518.89","2,435.07","31.26M","3.15%"
"04/07/2025","2,431.32","2,357.87","2,478.02","2,295.26","43.83M","-1.49%"
"04/04/2025","2,467.99","2,622.44","2,622.81","2,459.03","41.77M","-6.37%"
"04/03/2025","2,635.76","2,699.72","2,711.35","2,634.29","21.21M","-4.08%"
"04/02/2025","2,747.99","2,732.51","2,749.43","2,713.69","17.42M","0.47%"
"04/01/2025","2,735.15","2,704.15","2,750.32","2,704.13","24.88M","1.71%"
"03/31/2025","2,689.05","2,707.63","2,721.81","2,668.15","31.98M","-2.13%"
"03/28/2025","2,747.70","2,762.11","2,776.12","2,741.31","21.52M","-1.16%"
"03/27/2025","2,780.04","2,756.51","2,791.70","2,735.88","20.40M","0.39%"
"03/26/2025","2,769.17","2,797.22","2,804.10","2,754.91","26.19M","-1.11%"
"03/25/2025","2,800.29","2,774.97","2,806.71","2,758.92","27.68M","1.18%"
"03/24/2025","2,767.76","2,758.25","2,769.24","2,740.97","22.15M","1.57%"
"03/21/2025","2,725.07","2,738.76","2,754.69","2,706.24","55.60M","-1.02%"
"03/20/2025","2,753.23","2,782.00","2,782.62","2,728.11","25.28M","-0.94%"
"03/19/2025","2,779.33","2,782.47","2,798.60","2,767.15","28.70M","-0.70%"
"03/18/2025","2,799.02","2,792.96","2,827.92","2,783.31","25.95M","0.77%"
"03/17/2025","2,777.61","2,761.47","2,783.20","2,752.48","25.54M","0.84%"
"03/14/2025","2,754.38","2,689.25","2,764.34","2,675.64","37.03M","2.66%"
"03/13/2025","2,683.05","2,631.14","2,691.37","2,631.14","39.83M","2.14%"
"03/12/2025","2,626.79","2,606.16","2,630.38","2,606.15","26.65M","1.65%"
"03/11/2025","2,584.04","2,599.90","2,626.10","2,570.78","22.43M","-0.23%"
"03/10/2025","2,589.87","2,639.39","2,639.39","2,571.15","20.22M","-2.00%"
"03/07/2025","2,642.59","2,622.40","2,650.01","2,611.40","23.32M","0.14%"
"03/06/2025","2,638.92","2,602.03","2,639.94","2,593.58","27.67M","1.82%"
"03/05/2025","2,591.79","2,552.17","2,593.13","2,552.17","24.54M","3.69%"
"03/04/2025","2,499.54","2,561.98","2,567.84","2,499.54","25.63M","-3.92%"
"03/03/2025","2,601.65","2,572.09","2,608.14","2,546.72","20.96M","0.86%"
"02/28/2025","2,579.52","2,560.46","2,590.08","2,556.49","41.54M","-0.41%"
"02/27/2025","2,590.06","2,620.31","2,632.75","2,585.19","27.87M","-1.16%"
"02/26/2025","2,620.35","2,591.88","2,620.35","2,591.88","28.90M","1.88%"
"02/25/2025","2,572.05","2,545.89","2,589.82","2,545.89","23.19M","0.64%"
"02/24/2025","2,555.74","2,619.17","2,619.17","2,550.89","19.22M","-2.38%"
"02/21/2025","2,618.17","2,613.83","2,637.62","2,612.70","18.81M","0.17%"
"02/20/2025","2,613.76","2,625.46","2,635.34","2,609.21","22.61M","-0.80%"
"02/19/2025","2,634.88","2,681.55","2,694.82","2,619.20","29.27M","-1.35%"
"02/18/2025","2,671.05","2,612.52","2,675.70","2,610.54","27.41M","2.86%"
"02/17/2025","2,596.79","2,574.55","2,610.75","2,564.13","14.56M","0.82%"
"02/14/2025","2,575.77","2,594.10","2,603.79","2,565.59","20.76M","-0.74%"
"02/13/2025","2,594.92","2,588.58","2,612.05","2,579.20","24.46M","1.02%"
"02/12/2025","2,568.72","2,540.45","2,577.52","2,539.45","24.43M","1.32%"
"02/11/2025","2,535.24","2,505.90","2,539.54","2,499.12","15.49M","1.10%"
"02/10/2025","2,507.54","2,490.69","2,515.39","2,484.87","19.42M","0.78%"
"02/07/2025","2,488.16","2,467.53","2,497.37","2,462.51","17.63M","1.13%"
"02/06/2025","2,460.45","2,419.44","2,460.45","2,411.06","18.35M","2.74%"
"02/05/2025","2,394.72","2,414.78","2,426.76","2,380.36","15.85M","-0.84%"
"02/04/2025","2,414.96","2,401.32","2,416.11","2,387.06","13.96M","1.03%"
"02/03/2025","2,390.37","2,368.30","2,396.47","2,368.30","16.49M","-1.78%"
"01/31/2025","2,433.77","2,444.63","2,444.81","2,428.87","18.00M","-0.31%"
"01/30/2025","2,441.23","2,410.49","2,441.79","2,409.18","18.48M","1.77%"
"01/29/2025","2,398.68","2,406.37","2,413.60","2,396.69","12.05M","-0.01%"
"01/28/2025","2,399.02","2,378.07","2,400.75","2,374.02","17.66M","0.95%"
"01/27/2025","2,376.40","2,345.04","2,376.40","2,341.41","15.93M","-0.10%"
"01/24/2025","2,378.78","2,368.91","2,386.41","2,366.64","13.78M","0.66%"
"01/23/2025","2,363.24","2,358.06","2,368.39","2,349.11","14.82M","0.02%"
"01/22/2025","2,362.75","2,335.97","2,372.99","2,335.97","20.57M","1.28%"
"01/21/2025","2,332.87","2,319.54","2,333.10","2,313.43","13.24M","0.35%"
"01/20/2025","2,324.80","2,313.77","2,333.57","2,301.94","15.69M","0.76%"
"01/17/2025","2,307.26","2,287.64","2,313.82","2,283.70","18.69M","1.26%"
"01/16/2025","2,278.58","2,298.24","2,298.39","2,272.31","19.19M","-0.30%"
"01/15/2025","2,285.51","2,244.22","2,286.16","2,234.99","14.61M","2.12%"
"01/14/2025","2,238.04","2,232.20","2,249.32","2,223.15","15.14M","0.75%"
"01/13/2025","2,221.30","2,249.24","2,249.24","2,213.97","15.08M","-1.59%"
"01/10/2025","2,257.16","2,247.64","2,266.35","2,240.98","15.57M","0.41%"
"01/09/2025","2,247.94","2,232.99","2,247.94","2,220.00","15.60M","0.83%"
"01/08/2025","2,229.48","2,250.60","2,257.84","2,216.58","20.10M","-1.25%"
"01/07/2025","2,257.67","2,259.84","2,278.51","2,251.48","20.13M","0.90%"
"01/03/2025","2,237.57","2,229.21","2,250.30","2,222.18","12.36M","0.47%"
"01/02/2025","2,227.13","2,207.38","2,230.38","2,199.58","14.42M","1.60%"
"12/30/2024","2,192.01","2,194.05","2,209.88","2,185.44","11.03M","-0.55%"
"12/27/2024","2,204.19","2,205.98","2,207.75","2,186.66","9.79M","0.09%"
"12/23/2024","2,202.17","2,217.40","2,227.77","2,201.05","16.63M","0.08%"
"12/20/2024","2,200.39","2,217.49","2,219.00","2,179.88","37.60M","-1.13%"
"12/19/2024","2,225.51","2,201.10","2,227.86","2,196.85","27.36M","-0.05%"
"12/18/2024","2,226.58","2,216.33","2,235.60","2,209.71","21.72M","0.66%"
"12/17/2024","2,211.89","2,267.39","2,269.65","2,209.54","25.59M","-2.59%"
"12/16/2024","2,270.66","2,276.48","2,282.58","2,255.45","18.98M","-0.11%"
"12/13/2024","2,273.12","2,279.16","2,288.08","2,266.93","21.21M","-0.16%"
