date,usa_sp500,usa_dow_jones,usa_nasdaq_composite,china_csi300,chile_ipsa,peru_bvl_general,germany_dax,japan_nikkei225,india_nifty50,south_korea_kospi,indonesia_jakarta_composite,turkey_bist100,uk_ftse100,hong_kong_hang_seng,australia_asx200,canada_tsx_composite,poland_wig20
2020-06-01,3104.6609330610795,26062.270152698864,9839.971324573864,4039.8199999999997,3968.8690476190477,16878.0,12313.64806547619,22486.934481534092,10116.45467862216,2134.6968272816052,4925.868071056548,1116.078280362216,6244.62275834517,24478.3828125,5929.542852492559,15480.881880326704,1790.0938095238096
2020-07-01,3207.6190962357955,26385.83087713068,10499.86270419034,4636.310869565217,4062.134545454546,17512.53,12740.95609714674,22529.47433035714,10897.695694633152,2195.948677394701,5064.60791015625,1173.1281447637648,6167.365191915761,25316.15216619318,6011.521739130435,15942.481800426136,1804.0891304347826
2020-08-01,3391.7100190662204,27821.367280505954,11212.290504092261,4741.522380952381,3956.784285714286,18576.89,12882.407645089286,22901.4458984375,11318.566685267857,2349.873010253906,5226.649793836806,1094.2849975585937,6073.77001953125,25100.191499255954,6089.361932663691,16584.2900390625,1832.6409523809523
2020-09-01,3365.516671316964,27733.396391369046,11088.679966517857,4666.879545454546,3700.0890476190475,17948.78,12960.89639559659,23306.9458984375,11336.702192826704,2371.5161714099704,5063.162220348011,1103.9681673916903,5933.018132990057,24253.175337357956,5920.163618607955,16234.704799107143,1735.9818181818182
2020-10-01,3418.6999955610795,28005.105024857956,11435.234108664772,4760.9575,3666.578571428571,17472.2,12603.100896661932,23464.124906994046,11789.709495907739,2357.8210320723683,5071.640959087171,1168.557140531994,5851.5,24440.389214409723,6081.886363636364,16226.723865327382,1655.0181818181818
2020-11-01,3548.99248046875,29124.03662109375,11794.4615234375,4904.802857142857,3950.5790476190477,19796.51,12960.69140625,25384.867804276317,12592.957956414473,2504.1809663318454,5483.823916480655,1263.8476097470239,6222.542829241072,26119.760416666668,6407.919084821428,16743.604910714286,1768.2395000000001
2020-12-01,3695.3100142045455,30148.57990056818,12619.050914417614,5017.6756521739135,4147.628,20822.15,13425.95009765625,26772.954367897728,13550.440873579546,2755.7709379650296,5978.132863898027,1387.7136452414773,6522.159936523438,26524.837180397728,6656.909551711309,17520.947823660714,1951.6335
2021-01-01,3793.7484323601975,30821.352590460527,13186.605777138158,5478.5105,4512.5845,21110.22,13823.258984375,28189.06373355263,14284.602490234374,3089.266979980469,6247.352270507812,1528.4849975585937,6698.539990234375,28662.92041015625,6715.747404399671,17830.675,2000.267894736842
2021-02-01,3883.4321160567433,31283.909847861843,13737.403628700658,5559.196,4526.178,22530.22,13951.163916015625,29458.7998046875,14956.842529296875,3092.411661783854,6199.803505345395,1528.6700012207032,6583.575,29869.768988715277,6816.405004882812,18250.079050164473,1952.4255
2021-03-01,3910.5082795516305,32373.29110054348,13168.811820652174,5113.364347826087,4829.4404347826085,21372.03,14508.14262058424,29315.295686141304,14835.09998139881,3032.4691051136365,6252.836403586648,1492.2130498471467,6713.591351052989,28836.265964673912,6765.934803838315,18658.099864130436,1951.8513043478263
2021-04-01,4141.176199776785,33803.28608630953,13900.437965029761,5072.1728571428575,4849.048571428571,19562.77,15236.42744140625,29426.752046130954,14613.8525390625,3164.8550137606535,6012.273809523809,1393.2899963378907,6923.080004882812,28875.071751644737,7009.094995117188,19168.876395089286,1999.4845
